l_c_x,l_c_y,l_r_x,l_r_y,l_t_x,l_t_y,l_l_x,l_l_y,l_b_x,l_b_y,r_c_x,r_c_y,r_r_x,r_r_y,r_t_x,r_t_y,r_l_x,r_l_y,r_b_x,r_b_y,x,y
392.604599,298.023806,399.787292,297.86871,391.905899,292.502117,385.21019,298.150063,393.266983,303.475027,471.950493,292.165861,478.172531,291.949453,471.528168,286.597967,465.638657,292.322245,472.327271,297.634735,1759.0,620.0
207.982674,280.61923,215.230045,280.560808,207.964554,274.602156,200.724277,280.660915,207.979774,286.618652,285.074539,277.865582,292.567234,277.525177,285.112762,271.742592,277.650604,278.151884,285.071716,283.945341,589.0,603.0
183.193016,308.281231,190.830517,307.50329,182.42548,302.32481,175.571499,308.994656,183.903923,314.200459,261.421223,299.339561,269.546986,298.447866,260.618229,293.219204,253.411274,300.109377,262.252426,305.386133,614.0,1059.0
185.945511,297.022076,193.267498,296.526661,185.616875,291.194172,178.653908,297.463303,186.256065,302.785692,264.661102,290.234871,272.814674,289.5825,264.151745,283.858109,256.580715,290.870562,265.131912,296.584682,466.0,1060.0
194.807205,255.694427,200.542412,255.411901,195.451164,249.204283,189.15123,255.968227,194.093208,262.309427,265.059414,267.167187,271.821537,268.034792,266.277122,261.195145,258.649406,266.25598,263.874989,273.286743,21.0,55.0
247.543621,206.984825,253.602219,206.299238,247.068481,201.267328,241.569195,207.640915,248.008423,212.684813,313.282547,199.549184,319.607201,199.285398,313.126545,193.586426,307.128582,199.763989,313.515587,205.574942,515.0,150.0
220.256138,274.817448,226.985207,275.031853,220.727043,268.710966,213.540459,274.572687,219.741135,280.938234,296.112537,278.081675,303.45993,278.454237,296.446056,271.56023,288.938732,277.614384,295.870972,284.623547,494.0,501.0
298.925667,325.122814,306.079483,325.569963,299.205246,319.171801,291.759453,324.618931,298.624458,331.035175,378.974533,328.368845,386.21788,328.457737,379.16584,322.788792,371.865234,328.215752,378.754959,333.861008,617.0,1060.0
335.636597,304.493551,342.579231,303.880148,334.523087,298.511524,328.3424,305.129128,336.628952,310.509911,409.705696,288.147554,416.202698,287.674599,408.750076,280.593166,403.07724,288.539915,410.7061,295.627155,1566.0,85.0
313.778667,273.536196,319.52879,274.077044,314.223709,268.669538,308.026085,272.965479,313.268909,278.373528,378.457413,278.302288,384.450684,278.65943,378.931618,273.305483,372.547569,277.895021,378.001518,283.25326,513.0,1079.0
